District,Region,Gross Production,Students
Achham,Hill,6175,12375
Arghakhanchi,Hill,8031,8238
Baglung,Hill,10427,9729
Baitadi,Hill,6426,12193
Bajhang,Mountain,4249,8277
Bajura,Mountain,3158,6425
Banke,Terai,24889,15052
Bara,Terai,45509,12698
Bardiya,Terai,20716,19338
Bhaktapur,Hill,18793,13084
Bhojpur,Hill,8150,7118
Chitawan,Terai,39873,25386
Dadeldhura,NA,NA,25386
Dailekh,Hill,4855,4498
Dang,Hill,8012,12843
Darchaula,Terai,27858,20968
Dhading,Hill,14753,5274
Dhankuta,Hill,9187,13688
Dhanusa,Hill,31664,6553
Dolakha,Terai,7697,16069
Dolpa,Mountain,1707,7805
Doti,Mountain,7325,1416
Gorkha,Hill,12601,6826
Gulmi,Hill,9420,11239
Humla,Hill,1806,9783
Ilam,Mountain,16355,1670
Jajarkot,NA,4682,8673
Jhapa,Hill,44552,9593
Jumla,Terai,4904,27458
Kailali,Mountain,32663,3847
Kalikot,Terai,3541,32593
Kanchanpur,Mountain,18931,7497
Kapilbastu,Terai,25327,25701
Kapilvastu,Terai,NA,NA
Kaski,NA,34351,15242
Kathmandu,Hill,215590,22425
Kavre,Hill,23894,58752
Kavrepalanchok,Hill,NA,NA
Khotang,NA,10446,17956
Lalitpur,Hill,39658,8602
Lamjung,Hill,8898,21886
Mahottari,Hill,19101,7423
Makwanpur,Terai,26523,15070
Manang,Hill,926,11360
Morang,Mountain,54027,112
Mugu,Terai,2142,29003
Mustang,Mountain,1156,3694
Myagdi,Mountain,5226,333
Nawalparasi,Hill,33296,5134
Nuwakot,Terai,13481,24236
Okhaldhunga,Hill,6334,11118
Palpa,Hill,11500,6045
Panchthar,Hill,9285,12085
Parbat,Hill,6639,8849
Parsa,Hill,32879,7942
Pyuthan,Terai,6946,6297
Ramechhap,Hill,8617,5616
Rasuwa,Hill,2943,10056
Rautahat,Mountain,23238,1652
Rolpa,Terai,6459,16010
Rukum,Hill,7294,6493
Rupandehi,Hill,44195,10896
Salyan,Terai,8517,26946
Sankhuwasabha,Hill,8471,8781
Saptari,Mountain,22911,5482
Sarlahi,Terai,27847,17518
Sindhuli,Terai,10890,17865
Sindhupalchok,Hill,14291,12580
Siraha,Mountain,19643,10564
Solukhumbu,Terai,8720,16841
Sunsari,Mountain,37701,6583
Surkhet,Terai,14286,21780
Syangja,Hill,15710,13766
Tanahu,Hill,15494,14927
Taplejung,Hill,7487,13676
Terhathum,Mountain,6447,5483
Udayapur,Hill,13068,4231
